Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
2-Oxobutanoate	TYEYBOSBBBHJIV-UHFFFAOYSA-N	30831	HMDB00005	C00109	58	LMFA01060002
2,6,9,12-octadecatetraenoylcoa						
2,6,9,12,15-octadecapentenoylcoa						
2-oxoadipate(2-)	FGSBNBBHOZHUBO-UHFFFAOYSA-N	15753	HMDB00225	C00322		LMFA01170121
D-Glycerate 2-phosphate	GXIURPTVHJPJLF-UWTATZPHSA-N	17835	HMDB03391	C00631	439278	
2-phosphonatoglycolate(3-)	ASCFNMCAHFUBCO-UHFFFAOYSA-N	17150	HMDB00816	C00988	529	
trans-caffeate	QAIPRVGONGVQAS-UHFFFAOYSA-N	16433	HMDB03501	C01197	689043	
3,4-Dihydroxymandelaldehyde	YUGMCLJIWGEKCK-UHFFFAOYSA-N	27852	HMDB06242	C05577	151725	
3,4-Dihydroxymandelate	RGHMISIYKIHAJW-UHFFFAOYSA-N	27637	HMDB01866	C05580	85782	
3,4-Dihydroxyphenylethyleneglycol	MTVWFVDWRVYDOR-UHFFFAOYSA-N	1387	HMDB00318	C05576	91528	
3,4-Dihydroxyphenylacetaldehyde	IADQVXRMSNIUEL-UHFFFAOYSA-N	27978	HMDB03791	C04043		
(3,4-dihydroxyphenyl)acetate	CFFZDZCDUFSOFZ-UHFFFAOYSA-N	41941	HMDB01336	C01161		
L-dopa	WTDRDQBEARUVNC-LURJTMIESA-N	15765	HMDB00181	C00355		
3-(4-hydroxyphenyl)lactate	JVGVDSSUAVXRDY-UHFFFAOYSA-N	17385	HMDB00755	C03672		
3-(4-hydroxyphenyl)pyruvate	KKADPXVIOXHVKN-UHFFFAOYSA-N	15999	HMDB00707	C01179	979	
3',5'-cyclic GMP(1-)	ZOOGRGPOEVQQDX-UUOKFMHZSA-N	16356	HMDB01314	C00942	24316	
3,5-diiodo-L-tyrosine	NYPYHUZRZVSYKL-ZETCQYMHSA-N	15768	HMDB03474	C01060	9305	
(S)-3-aminoisobutyric acid	QCHPKSFMDHPSNR-VKHMYHEASA-N	33094	HMDB02166	C03284		LMFA01100050
D-3-Amino-isobutanoate	QCHPKSFMDHPSNR-GSVOUGTGSA-N	16320	HMDB02299	C01205	5459822	LMFA01100049
3-hydroxy butyryl carnitine						
3-hydroxydodecanoylcarnitine						
3,6-dodecadienoylcoa	KEPSPLQXVPROMK-GXFXHJQUSA-N	28002	HMDB03952	C05280	5280771	
3-hydroxydecanoylcarnitine						
3,7-decadienoylcoa						
3-dehydro-L-gulonate	WTAHRPBPWHCMHW-LWKDLAHASA-N	16142	HMDB06334	C00618		
3,7,10,13,16-docosapentenoylcoa						
3,6,9-dodecatrienoylcoa						
3-Decaprenyl-4,5-dihdydroxybenzoate	HGWUGDIATLOPBN-UHFFFAOYSA-N	50775				
3-Decaprenyl-4-hydroxy-5-methoxybenzoate	WCQCNOIKXGNDLX-UHFFFAOYSA-N	62796				
3-Decaprenyl-4-hydroxybenzoate	CMPNJZREBHCPHN-UHFFFAOYSA-N	64136	HMDB06251			
(2S)-1-hydroxy-3-oxooctadecan-2-aminium	KBUNOSOGGAARKZ-KRWDZBQOSA-N	17862	HMDB01480	C02934		LMSP01020002
3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	LQMGDAUBYDSVAK-VEQIRKQXSA-N		HMDB04601	C11947	9543313	
3-hydroxyanthranilate	WJXSWCUQABXPFS-UHFFFAOYSA-N	15793	HMDB01476	C00632		
(S)-3-hydroxybutanoyl-CoA(4-)	QHHKKMYHDBRONY-VKBDFPRVSA-N	15453	HMDB01166	C03561	9543037	
(R)-3-hydroxybutanoyl-CoA(4-)	QHHKKMYHDBRONY-WZZMXTMRSA-N	15452	HMDB01166	C03561	11966146	
(S)-3-Hydroxydecanoyl-CoA	HIVSMYZAMUNFKZ-WQUYVQPTSA-N	28325	HMDB03938	C05264	11966158	LMFA07050014
(S)-3-Hydroxydodecanoyl-CoA	IJFLXRCJWPKGKJ-AGWWUHEJSA-N	62558	HMDB03936	C05262	440603	LMFA07050012
3-hydroxyhexadecenoylcoa						
3-hydroxyhexadecenoylcarnitine						
3-hydroxyhexadecanoylcoa	DEHLMTDDPWDRDR-QQOJFMBSSA-N	27402	HMDB03932	C05258	440600	
