Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
Allantoin	POJWUDADGALRAB-UHFFFAOYSA-N	15676	HMDB00462	C01551	204	
allantoate	NUCLJNSWZCHRKL-UHFFFAOYSA-N	30837	HMDB01209	C00499	203	
lysophosphatidic acid						LMGP10050000
S-aminomethyldihydrolipoamide	KALYVIJGKPJBQV-UHFFFAOYSA-N	50622	HMDB06239		24906333	
S-Aminomethyldihydrolipoylprotein		16882				
2-aminomuconate 6-semialdehyde(1-)	QCGTZPZKJPTAEP-UHFFFAOYSA-N	15745	HMDB01280	C03824	5280625	LMFA01060191
S-Adenosyl-L-methionine	MEFKEPWMEQBLKI-AIRLBKTGSA-O	15414	HMDB01185	C00019	34756	
S-Adenosylmethioninamine	ZUNBITIXDCPNSD-LSRJEVITSA-N	15625	HMDB00988	C01137	439415	
AMP	UDMBCSSLTHHNCD-KQYNXXCUSA-N	16027	HMDB00045	C00020	6083	
2-aminomuconate(2-)	ZRHONLCTYUYMIQ-UHFFFAOYSA-N	16886	HMDB01241	C02220		
5alpha-androstane-3,17-dione	RAJWOBJTTGJROA-WZNAKSSCSA-N	15994	HMDB00899	C00674	222865	LMST02020085
androst-4-ene-3,17-dione	AEMFNILZOJDQLW-QAGGRKNESA-N	16422	HMDB00053	C00280	6128	LMST02020007
androsterone	QGXBDMJGAMFCBF-HLUDHZFRSA-N	16032	HMDB00031	C00523	5879	LMST02020001
androsterone 3-glucosiduronic acid	VFUIRAVTUVCQTF-BSOWLZGZSA-N	28832	HMDB02829	C11135		LMST05010013
anthranilate	RWZYAGGXGHYGMB-UHFFFAOYSA-N	30754	HMDB01123	C00108	227	
antipyrine	VEQOALNAAJBPNY-UHFFFAOYSA-N	31225		C13244	2206	
P(1),P(4)-bis(5'-adenosyl) tetraphosphate(4-)	YOAHKNVSNCMZGQ-XPWFQUROSA-N	17422	HMDB01211	C01260		
alpha-pinene oxide	NQFUSWIGRKFAHK-UHFFFAOYSA-N	29060	HMDB03667	C02759	91508	LMPR0102120007
Apocarboxlase (no lys residue)						
Apocarboxylase (Lys residue)						
Holocarboxylase (biotin covalent bound to Lys residue of apoC)						
(+)-alpha-pinene	GRWFGVWFFZKLTI-RKDXNWHRSA-N	36740	HMDB06525	C09880	82227	LMPR0102120012
(20S)-20-hydroxypregn-4-en-3-one	RWBRUCCWZPSBFC-RXRZZTMXSA-N	28453	HMDB03069	C04042		LMST02030169
N-acetylputrescinium	KLZGKIDSEJWEDW-UHFFFAOYSA-N	17768	HMDB02064	C02714		
5'-adenylyl sulfate(2-)	IRLPACMLTUPBCL-KQYNXXCUSA-N	17709	HMDB01003	C00224	10238	
Aquacob(III)alamin	YOZNUFWCRFCGIH-UVKKECPRSA-L	15852	HMDB03458	C00992		
L-arabinose	SRBFZHDQGSBBOR-HWQSCIPKSA-N	17535	HMDB00646	C00259		
arachidate	VKOBVWXKNCXXDE-UHFFFAOYSA-N	28822	HMDB02212	C06425	10467	LMFA01010020
arachidyl coenzyme A	JYLSVNBJLYCSSW-IBYUJNRCSA-N	15527	HMDB04258	C02041	16061151	
arachidyl carnitine	SVJLJQBGUITFLI-UHFFFAOYSA-N		HMDB06460		53477833	
arachidonate	YZXBAPSDXZZRGB-UHFFFAOYSA-N	15843	HMDB01043	C00219	444899	LMFA01030001
arachidonoyl-CoA(4-)	JDEPVTUUCBFJIW-IBYUJNRCSA-N	57368	HMDB06523	C02249	16061152	LMFA07050007
C20:4 carnitine						
D-argininium(1+)	ODKSFYDXXFIFQN-SCSAIBSYSA-N	15816	HMDB03416	C00792		
L-argininium(1+)	ODKSFYDXXFIFQN-BYPYZUCNSA-N	16467	HMDB00517	C00062	6322	
N(omega)-(L-Arginino)succinate	KDZOASGQNOPSCU-WDSKDSINSA-N	57472	HMDB00052	C03406	16950	
L-ascorbate	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	29073	HMDB00044	C00072		
L-asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N	17196	HMDB00168	C00152	6267	
D-aspartate(1-)	CKLJMWTZIZZHCS-UWTATZPHSA-N	17364	HMDB06483	C00402	83887	
L-aspartate(1-)	CKLJMWTZIZZHCS-REOHCLBHSA-N	17053	HMDB00191	C00049	5960	
ATP	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	15422	HMDB00538	C00002	5957	
(+)-alpha-tocopherol	GVJHHUAWPYXKBD-IEOSBIPESA-N	18145	HMDB01893	C02477	14985	LMPR02020001
alpha-tocotrienol	RZFHLOLGZPDCHJ-GDLZYMKVSA-N	33270	HMDB06327	C14153	5282347	LMPR02020054
crotonoyl-CoA(4-)	KFWWCMJSYSSPSK-CITAKDKDSA-N	57332	HMDB02009	C00877	5280381	
beta-Aminopropion aldehyde	PCXDJQZLDDHMGX-UHFFFAOYSA-N	18090	HMDB01106	C05665	75	
cis-beta-D-Glucosyl-2-hydroxycinnamate	GVRIYIMNJGULCZ-TVKJYDDYSA-N	62251		C05839	5316113	
betaine aldehyde	SXKNCCSPZDCRFD-UHFFFAOYSA-N	15710	HMDB01252	C00576	249	
beta-glucans						
N-benzoylglycinate	QIAFMBKCNZACKA-UHFFFAOYSA-N	18089	HMDB00714	C01586	464	
(R)-3-hydroxybutyrate	WHBMMWSBFZVSSR-GSVOUGTGSA-N	17066	HMDB00011	C01089		LMFA01050243
bis(beta-glucosyluronate)bilirubin	SCJLWMXOOYZBTH-ISDVUUGPSA-N	18392	HMDB03325	C05787		
mono(glucosyluronic acid)bilirubin(2-)	ARBDURHEPGRPSR-OZKSMCSRSA-N	57767				
bilirubin(2-)	BPYKTIZUTYGOLE-UHFFFAOYSA-N	16990	HMDB00054	C00486		
biliverdin(2-)	QBUVFDKTZJNUPP-UHFFFAOYSA-N	17033	HMDB01008	C00500		
Biocytin	BAQMYDQNMFBZNA-MNXVOIDGSA-N	27870	HMDB03134	C05552	83814	
Biotinyl-5'-AMP	UTQCSTJVMLODHM-RHCAYAJFSA-N	3110	HMDB04220	C05921	5326875	
Butanoyl-CoA	CRFNGMNYKDXRTN-UHFFFAOYSA-N	57371	HMDB01088	C00136	265	
Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	15956	HMDB00030	C00120	171548	
butyrate	FERIUCNNQQJTOY-UHFFFAOYSA-N	30772	HMDB00039	C00246	264	LMFA01010004
beta-tocopherol	WGVKWNUPNGFDFJ-DQCZWYHMSA-N	47771	HMDB06335	C14152		
benzoate	WPYMKLBDIGXBTP-UHFFFAOYSA-N	30746	HMDB01870	C00180		
decenoylcoa						
decenoyl carnitine	GOOOCIIXFLVRAG-UHFFFAOYSA-N		HMDB13205		53481651	
decanoyl carnitine	LZOSYCMHQXPBFU-UHFFFAOYSA-N	68830	HMDB00651		10245190	
sebacoyl carnitine						
dodecanedioyl carnitine						
dodecanedioylcoa						
tetradecanedioylcoa						
Hexadecanedioic acid mono-L-carnitine ester	UNHCPLSWMNPZTD-UHFFFAOYSA-N		HMDB00712		566787	LMFA07070007
cervonyl coenzyme A	MENFZXMQSYYVRK-ZUIQPFKESA-N			C16169		
cervonyl carnitine	WLLMYDQRCSWAST-UHFFFAOYSA-N		HMDB06510			
cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA	MPYXOYHSKAAPLW-ZPZYAKGGSA-N		HMDB06540	C11946	11953968	
malonyl carnitine	ZGNBLKBZJBJFDG-ZETCQYMHSA-N		HMDB02095		22833583	
butyryl carnitine	QWYFHHGCZUCMBN-UHFFFAOYSA-N	7676	HMDB02013	C02862	439829	
succinyl carnitine						
tiglyl carnitine	WURBQCVBQNMUQT-RMKNXTFCSA-N		HMDB02366		22833596	
glutaryl carnitine	NXJAXUYOQLTISD-VIFPVBQESA-N		HMDB13130		53481622	
hexanoyl carnitine	VVPRQWTYSNDTEA-UHFFFAOYSA-N	70749	HMDB00705		6426853	
adipoyl carnitine						
octenoylcoa	CPSDNAXXKWVYIY-DPSCIZRPSA-N	27537	HMDB03949	C05276	5280769	
octenoyl carnitine	YMIVWYONPRZBEJ-LXKVQUBZSA-N		HMDB13324		53481667	
octanoyl carnitine	CXTATJFJDMJMIY-CYBMUJFWSA-N	18102	HMDB00791	C02838	11953814	LMFA07070002
suberyl carnitine						
calcium(2+)	BHPQYMZQTOCNFJ-UHFFFAOYSA-N	29108	HMDB00464	C00076		
N-carbamoyl-beta-alaninate	JSJWCHRYRHKBBW-UHFFFAOYSA-N	18261	HMDB00026	C02642		
3',5'-cyclic AMP(1-)	IVOMOUWHDPKRLL-KQYNXXCUSA-N	17489	HMDB00058	C00575	6076	
carnosine	CQOVPNPJLQNMDC-ZETCQYMHSA-N	15727	HMDB00033	C00386	439224	
beta-carotene	OENHQHLEOONYIE-UHFFFAOYSA-N	17579	HMDB00561	C02094		LMPR01070001
(-)-trans-carveol	BAVONGHXFVOKBV-ZJUUUORDSA-N	15389	HMDB03450	C00964		LMPR0102090005
N-Carbamoyl-L-aspartate	HLKXYZVTANABHZ-REOHCLBHSA-N	15859	HMDB00828	C00438	93072	
Cob(I)alamin	SJBNFITWNDPBKE-WJICPROSSA-N	15982	HMDB03429	C00853		
Cob(II)alamin	QDYKIIMTNDYRAM-FSANSEACSA-M	16304	HMDB06316	C00541		
Carbamoyl phosphate	FFQKYPRQEYGKAF-UHFFFAOYSA-N	17672	HMDB01096	C00169	278	
Calcitroic acid (D3)						
CDP	ZWIADYZPOWUWEW-XVFCMESISA-N	17239	HMDB01546	C00112	6132	
CDPcholine	RZZPDXZPRHQOCG-OJAKKHQRSA-N	16436	HMDB01413	C00307	13804	
CDP-diacylglycerol(2-)		58332				
CDP-ethanolamine(1-)	WVIMUEUQJFPNDK-PEBGCTIMSA-N	16732	HMDB01564	C00570	123727	
L-cysteinylglycine	ZUKPVRWZDMRIEO-VKHMYHEASA-N	4047	HMDB00078	C01419	439498	
Methanethiol	LSDPWZHWYPCBBB-UHFFFAOYSA-N	16007	HMDB03227	C00409	878	
N,N'-Diacetylchitobiosyldiphosphodolichol, human liver homolog		12427				
N,N'-Diacetylchitobiosyldiphosphodolichol, human uterine homolog		12427				
5alpha-cholesta-7,24-dien-3beta-ol	PKEPPDGGTSZLBL-SKCNUYALSA-N	16290	HMDB06842	C05439		LMST01010206
Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N	15354	HMDB00097	C00114	305	
Cholate	BHQCQFFYRZLCQQ-OELDTZBJSA-N	16359	HMDB00619	C00695	221493	LMST04010001
choloyl-CoA(4-)	ZKWNOTQHFKYUNU-JGCIYWTLSA-N	15519	HMDB01374	C01794	439573	
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	QVDPWQVOSKJUES-SQEGORTJSA-N	27505	HMDB06889	C05460	5280797	
3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestan-26-oyl-CoA(4-)	AWLXQJGPNLCTLM-YFXOTMPNSA-N	27379	HMDB06891	C05467		
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)	MNYDLIUNNOCPHG-FJWDCHQMSA-N	37642	HMDB02178	C05448	15942889	
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S)	MNYDLIUNNOCPHG-SEGQUPMDSA-N	15493	HMDB02178	C05448	15942888	
choline phosphate(1-)	YHHSONZFOIEMCP-UHFFFAOYSA-M	18132	HMDB01565	C00588		
cholesterol	HVYWMOMLDIMFJA-DPAQBDIFSA-N	16113	HMDB00067	C00187	5997	LMST01010001
cholesterol sulfate	BHYOQNUELFTYRT-DPAQBDIFSA-N	41321	HMDB00653	C18043	65076	LMST05020016
chitin	WZZVUHWLNMNWLW-VFCSDQTKSA-N	71404				
Citrate	KRKNYBCHXYNGOX-UHFFFAOYSA-N	30769	HMDB00094	C00158	311	
(3S)-citramalyl-CoA(5-)	XYGOWHUIVNMEIA-XBVYHAPZSA-N	36882	HMDB06345	C01011		
L-citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N	16349	HMDB00904	C00327	9750	
Chloride	VEXZGXHMUGYJMC-UHFFFAOYSA-N	17996	HMDB00492	C00698	312	
cardiolipin						
clupanodonic acid	YUFFSWGQGVEMMI-UHFFFAOYSA-N	53488	HMDB06528	C16513		LMFA04000044
clupanodonyl CoA	NDRVWKXEWNMEEO-IKNWWIGSSA-N		HMDB06267	C16166	53477812	
clupanodonyl carnitine	AOSDFVDGMYPTHD-UHFFFAOYSA-N		HMDB06496			
CMP	IERHLVCPSMICTF-XVFCMESISA-N	17361	HMDB00095	C00055	6131	
CMP-2-aminoethylphosphonate	FBADRUOBFLBKJQ-PEBGCTIMSA-N			C05673	440754	
CMP-N-acetyl-beta-neuraminate(2-)	TXCIAUNLDRJGJZ-BILDWYJOSA-N	16556	HMDB01176	C00128		
CMP-N-trimethyl-2-aminoethylphosphonate	RNUGPSIGKYHQNQ-OJAKKHQRSA-O			C05674	440755	
cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate	KACPVQQHDVBVFC-UHFFFAOYSA-N	995	HMDB01330	C04409	5280673	
carbon monoxide	UGFAIRIUMAVXCW-UHFFFAOYSA-N	17245	HMDB01361	C00237	281	
carbon dioxide	CURLTUGMZLYLDI-UHFFFAOYSA-N	16526	HMDB01967	C00011	280	
Coenzyme A	RGJOEKWQDUBAIZ-IBOSZNHHSA-N	15346	HMDB01423	C00010	6816	
cocaine(1+)	ZPUCINDJVBIVPJ-LJISPDSOSA-N	27958		C01416	446220	
Core 2		15876				
Core 3		16250				
Core 4		16478				
Core 5						
Core 6						
Core 7						
Core 8						
cortisone	MFYSYFVPBJMHGN-ZPOLXVRWSA-N	16962	HMDB02802	C00762	222786	LMST02030090
4-coumaroyl-CoA(4-)	DMZOKBALNZWDKI-FUEUKBNZSA-N	57355		C00223	147899	
coumarin	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	28794	HMDB01218	C05851	323	
Coproporphyrinogen I	WIUGGJKHYQIGNH-UHFFFAOYSA-N	28607	HMDB02158	C05768	440776	
Coproporphyrinogen III	NIUVHXTXUXOFEB-UHFFFAOYSA-N	15439	HMDB01261	C03263	321	
creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N	16919	HMDB00064	C00300		
N-acylsphingosine		52639				
ceramide 1-phosphate(2-)		57674				
L-Carnitine	PHIQHXFUZVPYII-ZCFIWIBFSA-N	16347	HMDB00062	C15025	10917	
creatinine	DDRJAANPRJIHGJ-UHFFFAOYSA-N	16737	HMDB00562	C00791		
cortisol	JYGXADMDTFJGBT-VWUMJDOOSA-N	17650	HMDB00063	C00735	5754	LMST02030001
corticosterone	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	16827	HMDB01547	C02140		LMST02030186
cervonic acid, C22:6 n-3	MBMBGCFOFBJSGT-KUBAVDMBSA-N	28125	HMDB02183	C06429		LMFA01030185
chondroitin sulfate A (GalNAc4S-GlcA), free chain						
chondroitin sulfate A (GalNAc4S-GlcA), B (IdoA2S-GalNAc4S), and E (GalNAc4,6diS-GlcA), precursor 1						
chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 2						
chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3						
chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1						
chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2						
chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3						
chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4						
chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5						
chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), free chain						
chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1						
chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2						
chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 3						
chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4						
chondroitin sulfate B (IdoA2S-GalNAc4s), precursor 5						
chondroitin sulfate C (GalNAc6S-GlcA), free chain						
chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1						
chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1						
chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2						
chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3						
chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4						
chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5						
chondroitin sulfate C (GalNAc6S-GlcA), precursor 2						
chondroitin sulfate C (GalNAc6S-GlcA), precursor 3						
chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain						
chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 1						
chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 2						
chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 3						
chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4						
chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5						
chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 6						
chondroitin sulfate D (GlcNAc6S-GlcA2S) precursor 2						
chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 3						
chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 4						
chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5						
chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 5						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6						
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7						
chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2						
chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3						
chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 4						
chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5a						
chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 5b						
chondroitin sulfate/heparan sulfate linkage region (GlcA-(Gal)2-Xyl-L-Ser (protein))						
chondroitin sulfate precursor (GalNAc-GlcA-(Gal)2-Xyl-L-Ser (protein))				C04893		
cytosine	OPTASPLRGRRNAP-UHFFFAOYSA-N	16040	HMDB00630	C00380	597	
chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan						
chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan						
chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan						
chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan						
chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan						
cis2trans4decadienoylcoa						
CTP	PCDQPRRSZKQHHS-XVFCMESISA-N	17677	HMDB00082	C00063	6176	
hydrogen cyanide	LELOWRISYMNNSU-UHFFFAOYSA-N	17514	HMDB02084	C01326	768	
Cyanate	XLJMAIOERFSOGZ-UHFFFAOYSA-N	29195	HMDB02078	C01417	540	
L-cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N	17561	HMDB00574	C00097	5862	
cysteaminium	UFULAYFCSOUIOV-UHFFFAOYSA-N	17141	HMDB02991	C01678	6058	
L-cystathionine	ILRYLPWNYFXEMH-WHFBIAKZSA-N	17482	HMDB00099	C02291	439258	
Cytidine	UHDGCWIWMRVCDJ-XVFCMESISA-N	17562	HMDB00089	C00475	6175	
2-deoxyadenosine	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	17256	HMDB00101	C00559	13730	
dADP	DAEAPNUQQAICNR-RRKCRQDMSA-N	16174	HMDB01508	C00206	188966	
diglyceride						
1-alkenyl 2-acylglycerol 3-phosphoethanolamine plasmalogen						
dAMP(2-)	KHWCHTKSEGGWEX-RRKCRQDMSA-N	17713	HMDB00905	C00360	12599	
dATP	SUYVUBYJARFZHO-RRKCRQDMSA-N	16284	HMDB01532	C00131	15993	
trans-Dec-2-enoyl-CoA	MGNBGCRQQFMNBM-VHTAIFHGSA-N	61406	HMDB03948	C05275	24883423	
Decanoate (n-C10:0)						
Decanoyl-CoA (n-C10:0CoA)	CNKJPHSEFDPYDB-BOJFXZHGSA-N	61430	HMDB06404	C05274	440615	
N6-(1,2-Dicarboxyethyl)-AMP	OFBHPPMPBOJXRT-DPXQIYNJSA-N	15919	HMDB00536	C03794	447145	
dCDP	FTDHDKPUHBLBTL-SHYZEUOFSA-N	28846	HMDB01245	C00705	150855	
deoxycholic acid	KXGVEGMKQFWNSR-LLQZFEROSA-N	28834	HMDB00626	C04483	222528	LMST04010040
chenodeoxycholoyl coenzyme a	IIWDDMINEZBCTG-RUAADODMSA-N	28701	HMDB06292	C05337	11953854	
dCMP	NCMVOABPESMRCP-SHYZEUOFSA-N	15918	HMDB01202	C00239	13945	
docosa-4,7,10,13,16-pentaenoic acid	AVKOENOBFIYBSA-UHFFFAOYSA-N	65136	HMDB13123		159656	LMFA01030182
docosa-4,7,10,13,16-pentaenoyl coenzyme A	QKBTYZDPVNTERQ-JWANFKMKSA-N		HMDB06513	C16173	23724650	
docosa-4,7,10,13,16-pentaenoyl carnitine	KRXOUZZWQXTUIB-UHFFFAOYSA-N		HMDB06321			
dCTP	RGWHQCVHVJXOKC-SHYZEUOFSA-N	16311	HMDB00998	C00458	65091	
Deoxycytidine	CKTSBUTUHBMZGZ-SHYZEUOFSA-N	15698	HMDB00014	C00881	13711	
trans-Dodec-2-enoyl-CoA	IRFYVBULXZMEDE-GMHMEAMDSA-N	57330	HMDB03712	C03221	45266564	
cis-dodec-3-enoyl-CoA(4-)	XEMIVMKTVGRFTD-GMHMEAMDSA-N	58543	HMDB04257	C02944	16061154	LMFA07050009
5-dodecenoylcoa						
laurate	POULHZVOKOAJMA-UHFFFAOYSA-N	30805	HMDB00638	C02679	3893	LMFA01010012
Dodecanoyl-ACP (n-C12:0ACP)		16759				
Dodecanoyl-CoA (n-C12:0CoA)	YMCXGHLSVALICC-GMHMEAMDSA-N	15521	HMDB03571	C01832	165436	
lauroyl carnitine	FUJLYHJROOYKRA-QGZVFWFLSA-N		HMDB02250		168381	
dodecenoyl carnitine						
7-dehydrodesmosterol	RUSSPKPUXDSHNC-DDPQNLDTSA-N	27910	HMDB03896	C05107		LMST01010121
debrisoquine	JWPGJSVJDAJRLW-UHFFFAOYSA-N	34665	HMDB06543	C13650	2966	
2,4-decadienoylcoa	FASAKYLWSRDQOH-IKZSJNQUSA-N		HMDB01168		22833562	
4,7-decadienoylcoa						
decadienoylcoa	FASAKYLWSRDQOH-IKZSJNQUSA-N		HMDB01168		22833562	
decadienoyl carnitine	GDMITEPIMYKPHX-USKNYQQNSA-N		HMDB13325		53481669	
all trans Decaprenyl diphosphate	UAYWNGPBKZFVAV-UHFFFAOYSA-N		HMDB06288			
3-decenoylcoa	CQGVNMQHZQJNII-ZJZQAHHTSA-N	29126	HMDB02137		16019966	
4-decenoylcoa	QTOYQSMKQWCWOX-CCVVLBLYSA-N		HMDB02145		6443609	
2,4,7-decatrienoylcoa						
Dehydrodolichol, human liver homolog						
Dehydrodolichol, human uterine homolog						
Dehydrodolichol diphosphate, human liver homolog				C05859		
Dehydrodolichol diphosphate, human uterine homolog				C05859		
Dehydrodolichol phosphate, human liver homolog						
Dehydrodolichol phosphate, human uterine homolog						
glycochenodeoxycholate	GHCZAUBVMUEKKP-GYPHWSFCSA-N	36274	HMDB00637	C05466		LMST05030008
Chenodeoxyglycocholoyl-CoA	IIWDDMINEZBCTG-ILLDALFMSA-N		HMDB06897	C05461	440685	
dGDP	CIKGWCTVFSRMJU-KVQBGUIXSA-N	28862	HMDB00960	C00361	439220	
dGMP	LTFMZDNNPPEQNG-KVQBGUIXSA-N	16192	HMDB01044	C00362	65059	
deacylated-glycophosphatidylinositol (GPI)-anchored protein						
Deoxyguanosine	YKBGVTZYEHREMT-KVQBGUIXSA-N	17172	HMDB00085	C00330	187790	
dGTP	HAAZLUGHYHWQIW-KVQBGUIXSA-N	16497	HMDB01440	C00286	65103	
glycerone	RXKJFZQQPQGTFL-UHFFFAOYSA-N	16016	HMDB01882	C00184	670	
Dihydroxyacetone phosphate	GNGACRATGGDKBX-UHFFFAOYSA-N	16108	HMDB01473	C00111	668	
6,7-dihydrobiopterin	ZHQJVZLJDXWFFX-UHFFFAOYSA-N	64277	HMDB00038	C02953	1879	
3alpha,7alpha-Dihydroxy-5beta-cholestanate	ITZYGDKGRKKBSN-HKFUITGCSA-N	16577	HMDB00359	C04554	53477686	LMST04030066
3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	SBYLHTNKEWSLBA-UVNMPUASSA-N	15494	HMDB02159	C04644	440420	
3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	SEBZZAWTQNNGPK-ZAVIOYSRSA-N	27393	HMDB06895	C05447	5280796	
dihydroceramide		31488				
dehydroascorbide(1-)	SBJKKFFYIZUCET-UHFFFAOYSA-N	17242	HMDB01264	C00425	5780	
3beta-hydroxyandrost-5-en-17-one	FMGSKLZLMKYGDP-USOAJAOKSA-N	28689	HMDB00077	C01227	5881	LMST02020021
3beta-hydroxyandrost-5-en-17-one 3-sulfate(1-)	CZWCKYRVOZZJNM-USOAJAOKSA-N	16814	HMDB01032	C04555		LMST05020010
7,8-Dihydrofolate	OZRNSSUDZOLUSN-LBPRGKRZSA-N	15633	HMDB01056	C00415	98792	
dihydrolipoamide	VLYUGYAKYZETRF-UHFFFAOYSA-N	17694	HMDB00985	C00579	663	
Dihydrolipolprotein		16194				
(S)-dihydroorotate	UFIVEPVSAGBUSI-REOHCLBHSA-N	17025	HMDB03349	C00337		
dIDP	BKUSIKGSPSFQAC-RRKCRQDMSA-N	28823	HMDB03536	C01344	439488	
Digalactosylceramidesulfate				C06127		
Digalactosylceramide				C06126		
2'-deoxyinosine 5'-phosphate(2-)	PHNGFPPXDJJADG-RRKCRQDMSA-N	28806	HMDB06555	C06196	91531	
Deoxyinosine	VGONTNSXDCQUGY-RRKCRQDMSA-N	28997	HMDB00071	C05512	65058	
dITP(4-)	UFJPAQSLHAGEBL-RRKCRQDMSA-N	28807	HMDB03537	C01345	146302	
2,3-diketo-5-methylthio-1-phosphopentane		50604		C15650	561	
dihomo-gamma-linolenic acid (n-6)	HOBAELRKJCKHQD-UHFFFAOYSA-N	53486	HMDB02925	C03242	3011	LMFA01030158
dihomo-gamma-linolenyl coenzyme A	FJWJALRUNNZIBB-IBYUJNRCSA-N	27979		C03595	5280609	
dihomo-gamma-linolenyl carnitine	RDIZZXFTCZPSRY-UHFFFAOYSA-N					
demethylated antipyrine	KZQYIMCESJLPQH-UHFFFAOYSA-N	31530	HMDB06240	C13008		
N,N-dimethylglycine	FFDGPVCHZBVARC-UHFFFAOYSA-N	17724	HMDB00092	C01026	673	
2,6-dimethyl heptanoylcoa	GPXWBKWDXPBLKS-MKXQCCAMSA-J		HMDB06258		53477808	
2,6 dimethylheptanoyl-CoA	GPXWBKWDXPBLKS-MKXQCCAMSA-N		HMDB06258			
2,6 dimethylheptanoyl carnitine	QBYXBONNCVATNQ-UHFFFAOYSA-N		HMDB06320		53477823	
4,8 dimethylnonanoyl-CoA	YGNKJFPEXQCWDB-DPSOZLMZSA-N		HMDB11604			
4,8-dimethylnonanoyl carnitine	DDTDJDZHDFMZED-UHFFFAOYSA-N	63874	HMDB06202			
